State	Attraction	Address
Alabama Top 10 Attractions	1: US Space & Rocket Center	"1 Tranquility Base
Huntsville, AL 35805"
Alabama Top 10 Attractions	2: Birmingham Zoo	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g30620-Huntsville_Alabama-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Huntsville<i class=""icon-link-ext""></i></a>"
Alabama Top 10 Attractions	3: Robert Trent Jones Golf Trail	 
Alabama Top 10 Attractions	4: Point Mallard Park	"
"
Alabama Top 10 Attractions	5: Cheaha State Park	2630 Cahaba Rd, Birmingham, AL 35223
Alabama Top 10 Attractions	6: USS Alabama Battleship Memorial Park	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g30375-Birmingham_Alabama-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Birmingham<i class=""icon-link-ext""></i></a>"
Alabama Top 10 Attractions	7: Gulf Shores	 
Alabama Top 10 Attractions	8: McWane Science Center	"
"
Alabama Top 10 Attractions	9: Huntsville Botanical Garden	"3000 Robert Trent Jones Trail,
Opelika, AL 36801"
Alabama Top 10 Attractions	10: Birmingham Civil Rights Institute	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g30751-Opelika_Alabama-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Opelika<i class=""icon-link-ext""></i></a>"
Alaska Top 10 Attractions	1: Denali National Park & Preserve	.
Alaska Top 10 Attractions	2: Glacier Bay National Park	George Parks Hwy, Denali National Park and Preserve, AK
Alaska Top 10 Attractions	3: Mendenhall Glacier	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g143022-Denali_National_Park_and_Preserve_Alaska-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay near Denali National Park and Preserve<i class=""icon-link-ext""></i></a>"
Alaska Top 10 Attractions	4: Kenai Fjords National Park	 
Alaska Top 10 Attractions	5: Chugach State Park	"
"
Alaska Top 10 Attractions	6: Anchorage Museum at Rasmuson Center	Glacier Bay National Park and Preserve, AK
Alaska Top 10 Attractions	7: Alaska SeaLife Center	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g143027-Glacier_Bay_National_Park_and_Preserve_Alaska-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay near Glacier Bay National Park and Preserve<i class=""icon-link-ext""></i></a>"
Alaska Top 10 Attractions	8: University of Alaska Museum of the North	 
Alaska Top 10 Attractions	9: Sitka National Historic Park/Totem Park	6000 Glacier Spur Rd, Juneau, AK 99801
Alaska Top 10 Attractions	10: Alaska Inside Passage	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g31020-Juneau_Alaska-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Juneau<i class=""icon-link-ext""></i></a>"
Arizona Top 10 Attractions	1: Grand Canyon	. 
Arizona Top 10 Attractions	2: Sedona	Grand Canyon National Park, AZ
Arizona Top 10 Attractions	3: Monument Valley Navajo Tribal Park	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g143028-Grand_Canyon_National_Park_Arizona-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay near Grand Canyon National Park<i class=""icon-link-ext""></i></a>"
Arizona Top 10 Attractions	4: Hoover Dam	 
Arizona Top 10 Attractions	5: Phoenix Zoo	"
"
Arizona Top 10 Attractions	6: Havasu Falls	Sedona, AZ
Arizona Top 10 Attractions	7: Saguaro National Park	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g31352-Sedona_Arizona-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Sedona<i class=""icon-link-ext""></i></a>"
Arizona Top 10 Attractions	8: Canyon de Chelly National Monument	 
Arizona Top 10 Attractions	9: Arizona Science Center	"
"
Arizona Top 10 Attractions	10: Arizona-Sonora Desert Museum	US-163, Monument Valley, UT 84536
Arkansas Top 10 Attractions	1: Crystal Bridges Museum of American Art	600 Museum Way, Bentonville, AR 72712
